[0m[ INFO] [1556598384.783161094]: Set scanPeriod: 0.1[0m
LaserOdometry time, 1556598390.923456543, 1556598390.928268559
LaserOdometry time, 1556598390.973098981, 1556598391.016971932
LaserOdometry time, 1556598391.089105953, 1556598391.126878072
LaserOdometry time, 1556598391.217205454, 1556598391.290600874
LaserOdometry time, 1556598391.304990227, 1556598391.343369749
LaserOdometry time, 1556598391.407498993, 1556598391.451102161
LaserOdometry time, 1556598391.523102267, 1556598391.541865449
LaserOdometry time, 1556598391.616803405, 1556598391.660981369
LaserOdometry time, 1556598391.722925835, 1556598391.748447754
LaserOdometry time, 1556598391.860378321, 1556598391.888977770
LaserOdometry time, 1556598391.920813949, 1556598391.938584665
LaserOdometry time, 1556598392.051158897, 1556598392.078780071
LaserOdometry time, 1556598392.130833013, 1556598392.160079492
LaserOdometry time, 1556598392.233064830, 1556598392.255236726
LaserOdometry time, 1556598392.328106873, 1556598392.345056321
LaserOdometry time, 1556598392.478506236, 1556598392.502773828
LaserOdometry time, 1556598392.536874192, 1556598392.554976789
LaserOdometry time, 1556598392.679176264, 1556598392.696992512
LaserOdometry time, 1556598392.792122750, 1556598392.833142493
LaserOdometry time, 1556598392.843636074, 1556598392.860916529
LaserOdometry time, 1556598392.965257355, 1556598392.976980719
LaserOdometry time, 1556598393.105173311, 1556598393.122462872
LaserOdometry time, 1556598393.155085756, 1556598393.166699195
LaserOdometry time, 1556598393.275171019, 1556598393.291447601
LaserOdometry time, 1556598393.374989460, 1556598393.386447512
LaserOdometry time, 1556598393.544972488, 1556598393.561750551
LaserOdometry time, 1556598393.575064513, 1556598393.585825850
LaserOdometry time, 1556598393.689214433, 1556598393.733936965
LaserOdometry time, 1556598393.815891018, 1556598393.837106633
LaserOdometry time, 1556598393.887583975, 1556598393.902822243
LaserOdometry time, 1556598393.989484732, 1556598393.999195963
LaserOdometry time, 1556598394.138907235, 1556598394.154100103
LaserOdometry time, 1556598394.188822661, 1556598394.204448114
LaserOdometry time, 1556598394.288409378, 1556598394.333706264
LaserOdometry time, 1556598394.405896557, 1556598394.415827521
LaserOdometry time, 1556598394.525512742, 1556598394.562134697
LaserOdometry time, 1556598394.623941998, 1556598394.634436517
LaserOdometry time, 1556598394.714058675, 1556598394.728737249
LaserOdometry time, 1556598394.823962256, 1556598394.857853624
LaserOdometry time, 1556598394.939635671, 1556598394.978211918
LaserOdometry time, 1556598395.030537441, 1556598395.040934276
LaserOdometry time, 1556598395.130186118, 1556598395.151244073
LaserOdometry time, 1556598395.263433839, 1556598395.280076650
LaserOdometry time, 1556598395.393262243, 1556598395.427320593
LaserOdometry time, 1556598395.439637805, 1556598395.456453242
LaserOdometry time, 1556598395.589188605, 1556598395.618833080
LaserOdometry time, 1556598395.670646300, 1556598395.682370413
LaserOdometry time, 1556598395.760874613, 1556598395.777438594
LaserOdometry time, 1556598395.880655808, 1556598395.891591198
LaserOdometry time, 1556598396.030952299, 1556598396.047319490
LaserOdometry time, 1556598396.090821845, 1556598396.127404519
LaserOdometry time, 1556598396.169298043, 1556598396.198931646
LaserOdometry time, 1556598396.301091852, 1556598396.319138050
LaserOdometry time, 1556598396.401129418, 1556598396.418382631
LaserOdometry time, 1556598396.481087044, 1556598396.514007303
LaserOdometry time, 1556598396.618282474, 1556598396.648171290
LaserOdometry time, 1556598396.700936850, 1556598396.718781306
LaserOdometry time, 1556598396.823021437, 1556598396.846624790
LaserOdometry time, 1556598396.921250622, 1556598396.945832531
LaserOdometry time, 1556598397.019964724, 1556598397.044365000
LaserOdometry time, 1556598397.126488651, 1556598397.145382913
LaserOdometry time, 1556598397.207375988, 1556598397.231715684
LaserOdometry time, 1556598397.324340866, 1556598397.343958559
LaserOdometry time, 1556598397.439151297, 1556598397.486962850
LaserOdometry time, 1556598397.528997866, 1556598397.542124679
LaserOdometry time, 1556598397.639192495, 1556598397.665356691
LaserOdometry time, 1556598397.729594178, 1556598397.748911557
LaserOdometry time, 1556598397.879548889, 1556598397.910028690
LaserOdometry time, 1556598397.952017925, 1556598397.971085951
LaserOdometry time, 1556598398.053009888, 1556598398.070675756
LaserOdometry time, 1556598398.152984075, 1556598398.172293890
LaserOdometry time, 1556598398.294264496, 1556598398.319734865
LaserOdometry time, 1556598398.393927473, 1556598398.414268666
LaserOdometry time, 1556598398.488561452, 1556598398.515725894
LaserOdometry time, 1556598398.560372354, 1556598398.573789390
LaserOdometry time, 1556598398.690201755, 1556598398.711065910
LaserOdometry time, 1556598398.805461910, 1556598398.818395134
LaserOdometry time, 1556598398.895828303, 1556598398.915782041
LaserOdometry time, 1556598399.010216959, 1556598399.043712893
LaserOdometry time, 1556598399.097870786, 1556598399.131368657
LaserOdometry time, 1556598399.205558503, 1556598399.244189180
LaserOdometry time, 1556598399.318050266, 1556598399.340430069
LaserOdometry time, 1556598399.402383230, 1556598399.420165926
LaserOdometry time, 1556598399.522442732, 1556598399.539209344
LaserOdometry time, 1556598399.622363830, 1556598399.659432287
LaserOdometry time, 1556598399.781918074, 1556598399.816580504
LaserOdometry time, 1556598399.838719252, 1556598399.868007556
LaserOdometry time, 1556598399.930799530, 1556598399.947330992
LaserOdometry time, 1556598400.039977496, 1556598400.058192285
LaserOdometry time, 1556598400.140184703, 1556598400.155794300
LaserOdometry time, 1556598400.260427808, 1556598400.297994623
LaserOdometry time, 1556598400.340401929, 1556598400.375139862
LaserOdometry time, 1556598400.468589741, 1556598400.480496994
LaserOdometry time, 1556598400.547926146, 1556598400.583157414
LaserOdometry time, 1556598400.665063984, 1556598400.676385469
LaserOdometry time, 1556598400.765026313, 1556598400.806406636
LaserOdometry time, 1556598400.868389231, 1556598400.904284534
LaserOdometry time, 1556598400.986160427, 1556598401.008055414
LaserOdometry time, 1556598401.079970538, 1556598401.097515165
LaserOdometry time, 1556598401.190355921, 1556598401.206713560
LaserOdometry time, 1556598401.270052347, 1556598401.305461907
LaserOdometry time, 1556598401.407601620, 1556598401.428276850
LaserOdometry time, 1556598401.490577519, 1556598401.506809239
LaserOdometry time, 1556598401.600124799, 1556598401.620633101
LaserOdometry time, 1556598401.672677000, 1556598401.688778862
LaserOdometry time, 1556598401.792482157, 1556598401.813034336
LaserOdometry time, 1556598401.895046417, 1556598401.911328258
LaserOdometry time, 1556598402.008121148, 1556598402.044592535
LaserOdometry time, 1556598402.116432301, 1556598402.127597588
LaserOdometry time, 1556598402.206807040, 1556598402.228312961
LaserOdometry time, 1556598402.320467701, 1556598402.360186351
LaserOdometry time, 1556598402.425655897, 1556598402.468398236
LaserOdometry time, 1556598402.530324388, 1556598402.542996850
LaserOdometry time, 1556598402.640539295, 1556598402.671654213
LaserOdometry time, 1556598402.733603390, 1556598402.746939196
LaserOdometry time, 1556598402.833783273, 1556598402.854354455
LaserOdometry time, 1556598402.926325964, 1556598402.945553822
LaserOdometry time, 1556598403.037436839, 1556598403.054930195
LaserOdometry time, 1556598403.137483929, 1556598403.151317196
LaserOdometry time, 1556598403.247595284, 1556598403.264810099
LaserOdometry time, 1556598403.347858329, 1556598403.366830114
LaserOdometry time, 1556598403.448757671, 1556598403.474995391
LaserOdometry time, 1556598403.547161102, 1556598403.565642443
LaserOdometry time, 1556598403.657532992, 1556598403.673253778
LaserOdometry time, 1556598403.758270317, 1556598403.775697654
LaserOdometry time, 1556598403.887446333, 1556598403.908133060
LaserOdometry time, 1556598403.959884282, 1556598403.971225949
LaserOdometry time, 1556598404.059895704, 1556598404.079897972
LaserOdometry time, 1556598404.191950066, 1556598404.208443447
LaserOdometry time, 1556598404.291683938, 1556598404.313163835
LaserOdometry time, 1556598404.394931188, 1556598404.410920790
LaserOdometry time, 1556598404.495052283, 1556598404.509449640
LaserOdometry time, 1556598404.584933418, 1556598404.601075567
LaserOdometry time, 1556598404.734957276, 1556598404.755150322
LaserOdometry time, 1556598404.836987589, 1556598404.855145961
LaserOdometry time, 1556598404.917110632, 1556598404.939405539
LaserOdometry time, 1556598405.011467253, 1556598405.028281785
LaserOdometry time, 1556598405.120250884, 1556598405.148584984
LaserOdometry time, 1556598405.230541835, 1556598405.242538301
LaserOdometry time, 1556598405.340503782, 1556598405.364498232
LaserOdometry time, 1556598405.427419175, 1556598405.442927412
LaserOdometry time, 1556598405.516606042, 1556598405.534239293
LaserOdometry time, 1556598405.636534542, 1556598405.648317942
LaserOdometry time, 1556598405.736699363, 1556598405.753248721
LaserOdometry time, 1556598405.836297561, 1556598405.855586581
LaserOdometry time, 1556598405.957497005, 1556598405.973430175
LaserOdometry time, 1556598406.037621595, 1556598406.075830969
LaserOdometry time, 1556598406.177740935, 1556598406.199447015
LaserOdometry time, 1556598406.289921617, 1556598406.307486179
LaserOdometry time, 1556598406.381463438, 1556598406.403713938
LaserOdometry time, 1556598406.485671030, 1556598406.496053701
LaserOdometry time, 1556598406.579665523, 1556598406.634116658
LaserOdometry time, 1556598406.676254127, 1556598406.693509842
LaserOdometry time, 1556598406.779353768, 1556598406.797614128
LaserOdometry time, 1556598406.898208650, 1556598406.916142064
LaserOdometry time, 1556598407.011888674, 1556598407.036183222
LaserOdometry time, 1556598407.130617055, 1556598407.142265562
LaserOdometry time, 1556598407.190659113, 1556598407.214566402
LaserOdometry time, 1556598407.295019527, 1556598407.307214801
LaserOdometry time, 1556598407.405016673, 1556598407.425363934
LaserOdometry time, 1556598407.519760050, 1556598407.537163619
LaserOdometry time, 1556598407.611401160, 1556598407.630468961
LaserOdometry time, 1556598407.745777317, 1556598407.764767873
LaserOdometry time, 1556598407.821307248, 1556598407.846990905
LaserOdometry time, 1556598407.952407757, 1556598407.964815869
LaserOdometry time, 1556598408.067714931, 1556598408.112552607
LaserOdometry time, 1556598408.148801256, 1556598408.167496347
LaserOdometry time, 1556598408.253714718, 1556598408.279350348
LaserOdometry time, 1556598408.343628345, 1556598408.354441599
LaserOdometry time, 1556598408.444035868, 1556598408.462584488
LaserOdometry time, 1556598408.544537108, 1556598408.555225752
LaserOdometry time, 1556598408.685760872, 1556598408.704376189
LaserOdometry time, 1556598408.748343343, 1556598408.760929285
LaserOdometry time, 1556598408.848712137, 1556598408.873440530
LaserOdometry time, 1556598408.979418772, 1556598408.990969363
LaserOdometry time, 1556598409.058665582, 1556598409.077670072
LaserOdometry time, 1556598409.173042577, 1556598409.184602990
LaserOdometry time, 1556598409.271846683, 1556598409.316402737
LaserOdometry time, 1556598409.381524220, 1556598409.393074537
LaserOdometry time, 1556598409.490653333, 1556598409.508567114
LaserOdometry time, 1556598409.593146317, 1556598409.604855708
LaserOdometry time, 1556598409.721147035, 1556598409.760491794
LaserOdometry time, 1556598409.804758688, 1556598409.816014936
LaserOdometry time, 1556598409.913116396, 1556598409.961584598
LaserOdometry time, 1556598410.006133987, 1556598410.023867793
LaserOdometry time, 1556598410.118498044, 1556598410.137899732
LaserOdometry time, 1556598410.201768690, 1556598410.214027148
LaserOdometry time, 1556598410.329990204, 1556598410.367315426
LaserOdometry time, 1556598410.419534134, 1556598410.431841501
LaserOdometry time, 1556598410.509120454, 1556598410.527192600
LaserOdometry time, 1556598410.609734721, 1556598410.621480173
LaserOdometry time, 1556598410.709267238, 1556598410.725529860
LaserOdometry time, 1556598410.809202392, 1556598410.820864324
LaserOdometry time, 1556598410.929187225, 1556598410.950967864
LaserOdometry time, 1556598411.032845655, 1556598411.043864171
LaserOdometry time, 1556598411.142911646, 1556598411.162635426
LaserOdometry time, 1556598411.234303698, 1556598411.249526658
LaserOdometry time, 1556598411.344515425, 1556598411.364248770
LaserOdometry time, 1556598411.436223656, 1556598411.446134693
LaserOdometry time, 1556598411.566162256, 1556598411.580359681
LaserOdometry time, 1556598411.666128076, 1556598411.688391016
LaserOdometry time, 1556598411.750188951, 1556598411.783446099
LaserOdometry time, 1556598411.865938022, 1556598411.875789398
LaserOdometry time, 1556598411.965803372, 1556598412.005337585
LaserOdometry time, 1556598412.067132033, 1556598412.082648525
LaserOdometry time, 1556598412.167189749, 1556598412.193804354
LaserOdometry time, 1556598412.275890322, 1556598412.299579672
LaserOdometry time, 1556598412.381568889, 1556598412.409769774
LaserOdometry time, 1556598412.541812872, 1556598412.566059625
LaserOdometry time, 1556598412.627990444, 1556598412.649128668
LaserOdometry time, 1556598412.701085591, 1556598412.755920572
LaserOdometry time, 1556598412.797711653, 1556598412.836677833
LaserOdometry time, 1556598412.898540956, 1556598412.910177931
LaserOdometry time, 1556598413.008674204, 1556598413.049255104
LaserOdometry time, 1556598413.121251137, 1556598413.175008260
LaserOdometry time, 1556598413.207350281, 1556598413.229671065
LaserOdometry time, 1556598413.301709986, 1556598413.312073323
LaserOdometry time, 1556598413.431594734, 1556598413.472138778
LaserOdometry time, 1556598413.553905637, 1556598413.576395159
LaserOdometry time, 1556598413.628170375, 1556598413.642239426
LaserOdometry time, 1556598413.718336449, 1556598413.728179834
LaserOdometry time, 1556598413.877914908, 1556598413.912600934
LaserOdometry time, 1556598413.944005787, 1556598413.973295652
LaserOdometry time, 1556598414.025094107, 1556598414.058670583
LaserOdometry time, 1556598414.120106042, 1556598414.151015299
LaserOdometry time, 1556598414.302932559, 1556598414.338934134
LaserOdometry time, 1556598414.351002372, 1556598414.360814586
LaserOdometry time, 1556598414.451839558, 1556598414.490972570
LaserOdometry time, 1556598414.572660241, 1556598414.606841237
LaserOdometry time, 1556598414.668512373, 1556598414.689034573
LaserOdometry time, 1556598414.791508504, 1556598414.815360320
LaserOdometry time, 1556598414.877572706, 1556598414.893804231
LaserOdometry time, 1556598414.987209705, 1556598415.003885912
LaserOdometry time, 1556598415.107625019, 1556598415.122736205
LaserOdometry time, 1556598415.207238562, 1556598415.224722023
LaserOdometry time, 1556598415.297757359, 1556598415.314041357
LaserOdometry time, 1556598415.397268440, 1556598415.451459078
LaserOdometry time, 1556598415.523429690, 1556598415.539008683
LaserOdometry time, 1556598415.603494293, 1556598415.614503211
LaserOdometry time, 1556598415.703967558, 1556598415.720197311
LaserOdometry time, 1556598415.813835938, 1556598415.824972268
LaserOdometry time, 1556598415.923391998, 1556598415.939207000
LaserOdometry time, 1556598416.033275141, 1556598416.044625338
LaserOdometry time, 1556598416.123496022, 1556598416.139730210
LaserOdometry time, 1556598416.233324198, 1556598416.244838043
LaserOdometry time, 1556598416.333272332, 1556598416.363759381
LaserOdometry time, 1556598416.435869672, 1556598416.453756769
LaserOdometry time, 1556598416.555858918, 1556598416.572933098
LaserOdometry time, 1556598416.635611577, 1556598416.647647308
LaserOdometry time, 1556598416.746257816, 1556598416.763394391
LaserOdometry time, 1556598416.886055184, 1556598416.920152509
LaserOdometry time, 1556598416.954010722, 1556598416.989505309
LaserOdometry time, 1556598417.061464469, 1556598417.081675214
LaserOdometry time, 1556598417.164020810, 1556598417.203727680
LaserOdometry time, 1556598417.285956443, 1556598417.309492570
LaserOdometry time, 1556598417.381518047, 1556598417.408634207
LaserOdometry time, 1556598417.460829398, 1556598417.489744551
LaserOdometry time, 1556598417.600171949, 1556598417.624850703
LaserOdometry time, 1556598417.687216740, 1556598417.701565537
LaserOdometry time, 1556598417.797119001, 1556598417.822557521
LaserOdometry time, 1556598417.914992558, 1556598417.936408624
LaserOdometry time, 1556598418.050278912, 1556598418.070288239
LaserOdometry time, 1556598418.112411822, 1556598418.133493415
LaserOdometry time, 1556598418.217190341, 1556598418.241065431
LaserOdometry time, 1556598418.303050537, 1556598418.316113738
LaserOdometry time, 1556598418.403451482, 1556598418.443125937
LaserOdometry time, 1556598418.515345473, 1556598418.528745961
LaserOdometry time, 1556598418.615310884, 1556598418.634145258
LaserOdometry time, 1556598418.726531296, 1556598418.741451991
LaserOdometry time, 1556598418.826201551, 1556598418.845482638
LaserOdometry time, 1556598418.937571977, 1556598418.983278675
LaserOdometry time, 1556598419.045459096, 1556598419.065869487
LaserOdometry time, 1556598419.137881782, 1556598419.151795606
LaserOdometry time, 1556598419.237869829, 1556598419.290973506
LaserOdometry time, 1556598419.343197874, 1556598419.364513925
LaserOdometry time, 1556598419.466597757, 1556598419.485710783
LaserOdometry time, 1556598419.548046331, 1556598419.590093041
LaserOdometry time, 1556598419.654420002, 1556598419.688512221
LaserOdometry time, 1556598419.750561558, 1556598419.763159301
LaserOdometry time, 1556598419.850524111, 1556598419.898489882
LaserOdometry time, 1556598419.980465146, 1556598419.994065114
LaserOdometry time, 1556598420.080452781, 1556598420.098810915
LaserOdometry time, 1556598420.180933394, 1556598420.222914155
LaserOdometry time, 1556598420.285456873, 1556598420.319730635
LaserOdometry time, 1556598420.391830725, 1556598420.412300480
LaserOdometry time, 1556598420.504939023, 1556598420.539840176
LaserOdometry time, 1556598420.621843049, 1556598420.650548211
LaserOdometry time, 1556598420.732928202, 1556598420.771550691
LaserOdometry time, 1556598420.803513084, 1556598420.816697332
LaserOdometry time, 1556598420.893626339, 1556598420.911137244
LaserOdometry time, 1556598421.033480226, 1556598421.074658352
LaserOdometry time, 1556598421.117364193, 1556598421.141301684
LaserOdometry time, 1556598421.213684322, 1556598421.233490984
LaserOdometry time, 1556598421.316284077, 1556598421.341776268
LaserOdometry time, 1556598421.443904420, 1556598421.457263057
LaserOdometry time, 1556598421.563839097, 1556598421.582131071
LaserOdometry time, 1556598421.644502048, 1556598421.658936693
LaserOdometry time, 1556598421.744114709, 1556598421.762585022
LaserOdometry time, 1556598421.853043936, 1556598421.892876701
LaserOdometry time, 1556598421.945454575, 1556598421.963064035
LaserOdometry time, 1556598422.055535140, 1556598422.074350100
LaserOdometry time, 1556598422.166700261, 1556598422.185582025
LaserOdometry time, 1556598422.269975637, 1556598422.282181663
LaserOdometry time, 1556598422.350608884, 1556598422.383895584
LaserOdometry time, 1556598422.478382098, 1556598422.490352517
LaserOdometry time, 1556598422.579256689, 1556598422.598419984
