[0m[ INFO] [1556598476.724120715]: Set scanPeriod: 0.1[0m
LaserMapping time, 1556598481.762882830, 1556598481.765741681
LaserMapping time, 1556598482.034607830, 1556598482.036399099
LaserMapping time, 1556598482.205124026, 1556598482.205934290
LaserMapping time, 1556598482.376355001, 1556598482.377143951
LaserMapping time, 1556598482.589354320, 1556598482.590123862
LaserMapping time, 1556598482.815121197, 1556598482.817141464
LaserMapping time, 1556598482.991504765, 1556598482.992287383
LaserMapping time, 1556598483.258999082, 1556598483.259801216
LaserMapping time, 1556598483.421188451, 1556598483.422327912
LaserMapping time, 1556598483.603562999, 1556598483.604375534
LaserMapping time, 1556598483.871248078, 1556598483.872364303
LaserMapping time, 1556598484.095972442, 1556598484.096764742
LaserMapping time, 1556598484.316532313, 1556598484.317319551
LaserMapping time, 1556598484.442853924, 1556598484.443923422
LaserMapping time, 1556598484.670885978, 1556598484.671918753
LaserMapping time, 1556598484.927366153, 1556598484.929421027
LaserMapping time, 1556598485.061130533, 1556598485.061906354
LaserMapping time, 1556598485.377813668, 1556598485.378719786
LaserMapping time, 1556598485.485380489, 1556598485.486109093
LaserMapping time, 1556598485.782214113, 1556598485.782974884
LaserMapping time, 1556598485.924340784, 1556598485.925737573
LaserMapping time, 1556598486.175093477, 1556598486.175863036
LaserMapping time, 1556598486.424600913, 1556598486.425494365
LaserMapping time, 1556598486.531183891, 1556598486.532056289
LaserMapping time, 1556598486.806018082, 1556598486.806821333
LaserMapping time, 1556598487.009877599, 1556598487.012760057
LaserMapping time, 1556598487.203170279, 1556598487.205946719
LaserMapping time, 1556598487.428696370, 1556598487.430628509
LaserMapping time, 1556598487.634947583, 1556598487.637784634
LaserMapping time, 1556598487.824047165, 1556598487.825926317
LaserMapping time, 1556598488.011846568, 1556598488.013825433
LaserMapping time, 1556598488.253308899, 1556598488.254202748
LaserMapping time, 1556598488.436781136, 1556598488.438651542
LaserMapping time, 1556598488.672530257, 1556598488.675268765
LaserMapping time, 1556598488.862422889, 1556598488.865164792
LaserMapping time, 1556598489.129936361, 1556598489.133480932
LaserMapping time, 1556598489.292104887, 1556598489.294924806
LaserMapping time, 1556598489.497344687, 1556598489.500146696
LaserMapping time, 1556598489.720506450, 1556598489.723311376
LaserMapping time, 1556598489.892230528, 1556598489.895627316
LaserMapping time, 1556598490.187819952, 1556598490.191739159
LaserMapping time, 1556598490.330670068, 1556598490.331535618
LaserMapping time, 1556598490.613140682, 1556598490.613988074
LaserMapping time, 1556598490.735764848, 1556598490.736544285
LaserMapping time, 1556598491.007460652, 1556598491.008324200
LaserMapping time, 1556598491.186245539, 1556598491.189027510
LaserMapping time, 1556598491.342628408, 1556598491.343433786
LaserMapping time, 1556598491.584542974, 1556598491.585375891
LaserMapping time, 1556598491.757294113, 1556598491.758128525
LaserMapping time, 1556598492.009227408, 1556598492.010138366
LaserMapping time, 1556598492.189727470, 1556598492.194129260
LaserMapping time, 1556598492.389523558, 1556598492.390344366
LaserMapping time, 1556598492.604698012, 1556598492.605477916
LaserMapping time, 1556598492.840254314, 1556598492.841190981
LaserMapping time, 1556598493.002994602, 1556598493.003870425
LaserMapping time, 1556598493.220976764, 1556598493.224395592
LaserMapping time, 1556598493.461748309, 1556598493.462563951
LaserMapping time, 1556598493.667741198, 1556598493.668525525
LaserMapping time, 1556598493.830779282, 1556598493.831895583
LaserMapping time, 1556598494.078548856, 1556598494.079304312
LaserMapping time, 1556598494.267965462, 1556598494.271023656
LaserMapping time, 1556598494.467477540, 1556598494.468435819
LaserMapping time, 1556598494.688434640, 1556598494.689155904
LaserMapping time, 1556598494.895506199, 1556598494.896317940
LaserMapping time, 1556598495.088974034, 1556598495.089721094
LaserMapping time, 1556598495.303133210, 1556598495.306770242
LaserMapping time, 1556598495.505067421, 1556598495.505788177
LaserMapping time, 1556598495.751755639, 1556598495.752769784
LaserMapping time, 1556598495.954450020, 1556598495.955277465
LaserMapping time, 1556598496.179001988, 1556598496.179810991
LaserMapping time, 1556598496.360844060, 1556598496.364174799
LaserMapping time, 1556598496.552933100, 1556598496.553778633
LaserMapping time, 1556598496.769495404, 1556598496.770262975
LaserMapping time, 1556598497.021436505, 1556598497.022791901
LaserMapping time, 1556598497.199518518, 1556598497.200312893
LaserMapping time, 1556598497.458085920, 1556598497.463824375
LaserMapping time, 1556598497.598933277, 1556598497.599856167
LaserMapping time, 1556598497.823790449, 1556598497.824601499
LaserMapping time, 1556598498.015395166, 1556598498.016189095
LaserMapping time, 1556598498.266819117, 1556598498.267829841
LaserMapping time, 1556598498.472906106, 1556598498.478175795
LaserMapping time, 1556598498.639980179, 1556598498.641020850
LaserMapping time, 1556598498.844661251, 1556598498.845483506
LaserMapping time, 1556598499.086732845, 1556598499.087896267
LaserMapping time, 1556598499.252372060, 1556598499.253244653
LaserMapping time, 1556598499.471269781, 1556598499.473557775
LaserMapping time, 1556598499.672417642, 1556598499.673247907
LaserMapping time, 1556598499.871813945, 1556598499.872646941
LaserMapping time, 1556598500.111141889, 1556598500.111992544
LaserMapping time, 1556598500.299903367, 1556598500.300759114
LaserMapping time, 1556598500.539305928, 1556598500.545804207
LaserMapping time, 1556598500.742900453, 1556598500.743787195
LaserMapping time, 1556598500.913732377, 1556598500.914557497
LaserMapping time, 1556598501.162673105, 1556598501.163502604
LaserMapping time, 1556598501.345865228, 1556598501.346723355
LaserMapping time, 1556598501.548057635, 1556598501.552303226
LaserMapping time, 1556598501.771574988, 1556598501.772302984
LaserMapping time, 1556598502.031855771, 1556598502.032795954
